draw_ID,Rate,result,mn,max
free_radio,1296,radio_7_1,1,1
free_radio,1296,radio_7_2,1,1
free_radio,1296,radio_7_3,1,1
free_radio,1296,radio_7_4,1,1
free_radio,1296,radio_7_5,1,1
free_radio,1296,radio_7_6,1,1
free_radio,1296,radio_7_7,1,1
free_radio,1296,radio_7_8,1,1
free_radio,1296,radio_7_9,1,1
free_radio,1296,radio_7_10,1,1
free_lg,1296,lg_7_1,1,1
free_lg,1296,lg_7_2,1,1
free_lg,1296,lg_7_3,1,1
free_lg,1296,lg_7_4,1,1
free_lg,1296,lg_7_5,1,1
free_lg,1296,lg_7_6,1,1
free_lg,1296,lg_7_7,1,1
free_lg,1296,lg_7_8,1,1
free_lg,1296,lg_7_9,1,1
free_lg,1296,lg_7_10,1,1
stamina_radio,1296,radio_7_1,1,1
stamina_radio,1296,radio_7_2,1,1
stamina_radio,1296,radio_7_3,1,1
stamina_radio,1296,radio_7_4,1,1
stamina_radio,1296,radio_7_5,1,1
stamina_radio,1296,radio_7_6,1,1
stamina_radio,1296,radio_7_7,1,1
stamina_radio,1296,radio_7_8,1,1
stamina_radio,1296,radio_7_9,1,1
stamina_radio,1296,radio_7_10,1,1
stamina_radio,882,radio_6_1,1,1
stamina_radio,882,radio_6_2,1,1
stamina_radio,882,radio_6_3,1,1
stamina_radio,882,radio_6_4,1,1
stamina_radio,882,radio_6_5,1,1
stamina_radio,882,radio_6_6,1,1
stamina_radio,882,radio_6_7,1,1
stamina_radio,882,radio_6_8,1,1
stamina_radio,882,radio_6_9,1,1
stamina_radio,882,radio_6_10,1,1
stamina_lg,882,lg_6_1,1,1
stamina_lg,882,lg_6_2,1,1
stamina_lg,882,lg_6_3,1,1
stamina_lg,882,lg_6_4,1,1
stamina_lg,882,lg_6_5,1,1
stamina_lg,882,lg_6_6,1,1
stamina_lg,882,lg_6_7,1,1
stamina_lg,882,lg_6_8,1,1
stamina_lg,882,lg_6_9,1,1
stamina_lg,882,lg_6_10,1,1
stamina_lg,1296,lg_7_1,1,1
stamina_lg,1296,lg_7_2,1,1
stamina_lg,1296,lg_7_3,1,1
stamina_lg,1296,lg_7_4,1,1
stamina_lg,1296,lg_7_5,1,1
stamina_lg,1296,lg_7_6,1,1
stamina_lg,1296,lg_7_7,1,1
stamina_lg,1296,lg_7_8,1,1
stamina_lg,1296,lg_7_9,1,1
stamina_lg,1296,lg_7_10,1,1
ssp_radio,156,radio_3_1,1,1
ssp_radio,156,radio_3_2,1,1
ssp_radio,156,radio_3_3,1,1
ssp_radio,156,radio_3_4,1,1
ssp_radio,156,radio_3_5,1,1
ssp_radio,156,radio_3_6,1,1
ssp_radio,156,radio_3_7,1,1
ssp_radio,156,radio_3_8,1,1
ssp_radio,156,radio_3_9,1,1
ssp_radio,156,radio_3_10,1,1
ssp_radio,320,radio_4_1,1,1
ssp_radio,320,radio_4_2,1,1
ssp_radio,320,radio_4_3,1,1
ssp_radio,320,radio_4_4,1,1
ssp_radio,320,radio_4_5,1,1
ssp_radio,320,radio_4_6,1,1
ssp_radio,320,radio_4_7,1,1
ssp_radio,320,radio_4_8,1,1
ssp_radio,320,radio_4_9,1,1
ssp_radio,320,radio_4_10,1,1
ssp_radio,320,radio_4_11,1,1
